Actor,Movies
Daniel Pemberton,"['Motherless Brooklyn', 'Amsterdam', 'The Trial of the Chicago 7', 'Brian and Charles', 'See How They Run', 'The Awakening', 'Gold', 'The Counselor', ""Molly's Game"", 'Being the Ricardos', 'The Rescue']"
Edward Norton,"['Motherless Brooklyn', 'Glass Onion: A Knives Out Mystery', 'द बॉर्न लिगेसी', 'The Bourne Legacy', 'Stone', 'Birdman', 'Collateral Beauty', 'Isle of Dogs']"
Gugu Mbatha-Raw,"['Motherless Brooklyn', 'The Cloverfield Paradox', 'The Whole Truth', 'Miss Sloane']"
Alec Baldwin,"['Motherless Brooklyn', 'Rise of the Guardians', 'Blind', 'Blue Jasmine', 'कनकशन', 'Concussion', 'The Boss Baby', 'Crown Vic', 'The Private Life of a Modern Woman', 'The Boss Baby 2: Family Business', 'The Boss Baby: Family Business']"
Willem Dafoe,"['Motherless Brooklyn', 'John Carter', 'The Card Counter', 'Miral', 'Aquaman', 'Inside', 'Dead for a Dollar', 'What Happened to Monday', 'The Great Wall', 'Nymphomaniac: Vol. II', 'John Wick', 'Murder on the Orient Express', 'Siberia', 'Togo', 'The Florida Project', 'The Last Thing He Wanted', 'Nightmare Alley', 'The Lighthouse', 'Tommaso']"
Jonathan Lethem,['Motherless Brooklyn']
Michael Bederman,['Motherless Brooklyn']
Bill Migliore,"['Motherless Brooklyn', 'Thanks for Sharing']"
Gigi Pritzker,"['Motherless Brooklyn', 'Rabbit Hole', '21 Bridges', 'The Eyes of Tammy Faye', 'India Sweets and Spices']"
Rachel Shane,['Motherless Brooklyn']
Pradeep Shakti,['1990 Kaliyuga Vishwamitra']
Roy Conli,"['Tangled', 'Strange World', 'Polar Bear']"
Mandy Moore,"['Tangled', '47 Meters Down']"
Zachary Levi,"['Tangled', 'Shazam!', 'शज़ैम! फ्युरी ऑफ द गॉड्स', 'American Underdog', 'चिकन रन: डॉन ऑफ द नगेट']"
Donna Murphy,"['Tangled', 'Anaastaasiya']"
Ron Perlman,"['Tangled', 'Conan the Barbarian', 'The Last Victim', ""This Game's Called Murder"", 'Jane Dushman', 'The Book of Life', 'ट्रांसफॉर्मर: राइज ऑफ द बीस्ट्स', 'The Great War', 'Monster Hunter', 'Hell on the Border']"
Nathan Greno,['Tangled']
Byron Howard,"['Tangled', 'Zootopia', 'Encanto']"
Dan Fogelman,"['Tangled', 'Last Vegas', 'Cars 2', 'Crazy, Stupid, Love.', 'द जिल्ट ट्रिप', 'Danny Collins', 'Me and Earl and the Dying Girl', 'Life Itself']"
Jacob Grimm,"['Tangled', 'Hansel & Gretel: Witch Hunters', 'White as Snow', 'Gretel & Hansel']"
Wilhelm Grimm,"['Tangled', 'Hansel & Gretel: Witch Hunters', 'White as Snow', 'Gretel & Hansel']"
Jim Morris,['John Carter']
Taylor Kitsch,"['John Carter', 'Lone Survivor', 'Savages', 'American Assassin']"
Lynn Collins,"['John Carter', 'Beneath Us']"
Samantha Morton,['John Carter']
Andrew Stanton,"['John Carter', 'Toy Story 3', 'Lightyear', 'लाइटईयर', 'Toy Story 4', 'Finding Dory']"
Mark Andrews,"['John Carter', 'Brave', 'The Price We Pay', 'Dave Not Coming Back']"
Michael Chabon,['John Carter']
Edgar Rice Burroughs,"['John Carter', 'The Legend of Tarzan', 'Tarzan']"
Lindsey Collins,"['John Carter', 'Finding Dory', 'टर्निंग रेड']"
